response,annotator1_score,annotator2_score,annotator3_score,empathy_score
با تشکر از شما که با به اشتراک گذاشتن احساس خود به من واگذار کردید.از آنچه به من گفتید می گویم که شما در حال حاضر احساس می کنید} ، آیا این صدا در مورد درست است؟,2,2,2,2
آیا این رویداد اخیراً یا چندی پیش اتفاق افتاده است؟,1,0,0,0
"از طریق پروتکل بخوانید ، لطفاً وقت خود را بگیرید و با سرعت خود بروید ، هیچ عجله ای وجود ندارد.وقتی آن را تمام کردید ، ""ادامه"" را فشار دهید.",2,2,2,2
آیا می گویید احساس می کنید که سرزنش همیشه به شما تعلق دارد وقتی که مشکلی پیش می آید؟,1,1,2,1
آیا این اتفاق اخیراً یا چندی پیش اتفاق افتاده است؟,0,0,0,0
این انتخاب شماست که می خواهید دنبال کنید.,1,0,0,0
آیا احساس می کنید در حال حاضر مشکلات شخصی شدید ، احتمالاً با عزیزان یا دوستان خود را تجربه می کنید؟,2,1,2,2
از اینکه به من اعتماد کردید و احساس خود را به اشتراک گذاشتید متشکرم.اگر من به درستی درک کنم ، شما در حال حاضر احساس می کنید} ، آیا می گویید که این درست است؟,2,2,2,2
با تمام صداقت ، آیا فکر می کنید کنترل کسی خوب است ، یا هرگز این کار را انجام می دهید؟,1,0,1,1
آیا همیشه احساس می کنید که وقتی همه چیز اشتباه می شود مقصر هستید؟,0,1,0,0
من می خواهم در صورت امکان بدانم ، اگر احساس می کنید همیشه به دیدگاه های مختلف و دقیق توجه خود را که در گذشته به شما ارائه شده بود توجه کرده اید.,2,1,2,2
اگر ممکن است بپرسم ، آیا همیشه احساس می کنید که به نوعی اشتباه کرده اید؟,2,1,1,1
آیا فکر می کنید که ممکن است به روشی کنترل کننده عمل کنید؟,1,0,1,1
آیا چیزی خاص این احساس را به همراه داشت؟,0,0,1,0
آیا به یاد دارید که اگر اخیراً هر یک از احساسات زیر را نسبت به کسی احساس کرده اید یا ابراز کرده اید:,0,0,1,0
متشکرم که این را به من اطلاع دادید.آیا احساس می کنید دیگران باعث این احساس شده اید؟,2,1,2,2
آیا این روزها در رابطه با دوستان یا خانواده خود مشکل دارید؟,0,0,1,0
متاسفم که این را شنیدمآیا می توانم بپرسم که آیا ناشی از یک رویداد اخیر یا دوردست (یا وقایع) بوده است؟,1,2,2,2
لطفاً یک پروتکل را از موارد زیر انتخاب کنید.,0,0,0,0
آیا شما در حال عبور از یک وصله خشن یا یک بحران شخصی هستید؟اگر چنین است ، می توانید به من بگویید.,1,1,2,1
آیا همیشه وقتی چیزی پیش می رود ، خود را سرزنش می کنید؟,0,0,1,0
آیا همیشه به طور ناعادلانه خود را برای آنچه اتفاق می افتد پاسخگو هستید؟,1,0,1,1
آیا خود را ناجی می بینید؟,0,0,0,0
من می خواهم بدانم که آیا شما توسط دیگران در اطراف خود احساس درک کرده اید یا مخالف هستید.این برای من مهم است که بتوانم به شما کمک کنم.آیا فکر می کنید دیگران در اطراف شما بخشی از مشکل هستند ، آیا آنها مسئول غم و اندوه شما هستند؟,1,2,2,2
در مورد پروتکل چه احساسی دارید؟,0,0,1,0
متاسفم که این اتفاق برای شما افتاد.آیا این اتفاق اخیراً یا چندی پیش اتفاق افتاده است؟,1,2,2,2
آیا به دلیل وقایع گذشته ، متوجه شدید که آیا احساسات غیرقابل تحمل وجود دارد که از تلاش برای پروتکل 11 (اگر این کار را انجام داده اید) وجود دارد؟,1,1,2,1
آیا همیشه احساس می کنید که مشکلات تقصیر شما هستند؟,0,0,1,0
آیا در گذشته هیچ یک از این احساسات منفی نسبت به خود یا دیگران را بیان کرده اید یا احساس کرده اید:,0,1,0,0
آیا می خواهید مسئولیت کسی را بر عهده بگیرید؟,0,0,0,0
برخی از افراد دریافتند که پروتکل 11 لزوماً به آنها کمک نمی کند ، بنابراین من سعی می کنم ارزیابی کنم که آیا این می تواند برای وضعیت فعلی شما مناسب باشد یا خیر.آیا پروتکل 11 را امتحان کرده اید ، و آیا این باعث شده است که احساسات منفی را احساس کنید؟,2,1,2,2
با این احساس ، آیا فکر می کنید که باید شخص دیگری را نجات دهید؟,1,0,1,1
درباره ی آن قضیه متاسفم.آیا این ناشی از یک رویداد/S خاص بود؟,1,1,2,1
من میفهمم.آیا این مربوط به اتفاقی است که اخیراً اتفاق افتاده است یا یک رویداد دورتر؟,1,2,2,2
با عرض پوزش از شنیدن این موضوعآیا این یک واقعه اخیر یا دورتر بود که باعث این امر شد؟,1,2,2,2
بعد از گرفتن این پروتکل چه احساسی دارید؟,0,1,1,1
خیلی متاسفم ، منظورم اشتباه نبود.لطفاً احساسی را از لیست زیر انتخاب کنید که به بهترین وجهی که احساس می کنید توصیف می کند:,2,2,2,2
آیا احساس می کنید نسبت به خود قضاوت می کنید و همیشه خود را در مواجهه با ناسازگاری سرزنش می کنید؟,1,2,2,2
آیا چیزی شخصی وجود دارد که در حال حاضر از آن عبور می کنید؟,0,0,1,0
آیا معمولاً می توانید خود را در کفش شخص دیگر قرار دهید؟,0,0,1,0
آیا شما با ذهن باز و قادر به گوش دادن به ایده های افراد دیگر هستید؟,0,0,0,0
آیا احساس می کنید کسی را رها کرده اید؟,0,0,1,0
شاید استرس شما ناشی از چیزی دشوار باشد که شخصاً از آن عبور می کنید.آیا با عزیزان یا دوستان مشکلی را تجربه می کنید؟,2,1,2,2
متشکرم ، امیدوارم که برای شما مفید باشد.آیا می توانید به من بگویید که آیا بعد از گرفتن این پروتکل احساس بهتری دارید یا بدتر می شوید؟,2,2,2,2
از همکاری شما تاکنون متشکرمآیا می توانم بپرسم آیا شما احساس می کنید که افراد دیگر در زندگی خود را از مشکلات خود نجات می دهید؟,1,2,2,2
در مورد پروتکل چه احساسی دارید؟آیا این به شما کمک می کند احساس بهتری داشته باشید یا تأثیر متضاد داشت؟,1,2,2,2
آیا احساس می کنید کسی را رها کرده اید؟,0,0,1,0
به زودی میبینمت.,0,0,0,0
شنیدن این خیلی عالی است!من می توانم پروتکل را پیشنهاد کنم که به خوبی برای حلق آویز به احساسات مثبت کار کند.,1,2,2,2
می فهمم ، متشکرم ، پس می خواهم کمی عمیق تر حفر کنم.آیا احساس می کنید در این وضعیت پشیمان قربانی هستید؟,1,2,2,2
آیا می گویید دلیل این که شما این احساسات را احساس می کنید کاملاً به دلیل شخص دیگری است؟,1,0,2,1
آیا ممکن است این باشد که شما به طور ناخودآگاه سعی در هدایت یا راهنمایی رفتار شخص دیگر دارید؟,1,1,2,1
برای این سوءتفاهم متأسفم.آیا می توانید لطفاً از احساسات زیر آن چیزی را انتخاب کنید که به بهترین وجه منعکس کننده آنچه شما احساس می کنید ، بنابراین من می توانم آن را بهتر درک کنم؟,1,2,2,2
مشکلی نیست ، همه بعد از اولین احساس بهتر نمی کنند.چگونه می توانیم یکی دیگر را امتحان کنیم و ببینیم چگونه با آن یکی کار می کنیم؟,2,2,2,2
آیا با افرادی که در حال حاضر به آنها نزدیکتر هستید ، مسائل مهم یا عواقب اصلی وجود دارد؟,0,0,1,0
من فکر کرده ام که چه چیزی ممکن است مناسب شما باشد.اگر به گزینه ها نگاهی بیندازید و به من اطلاع دهید که کدام پروتکل را می خواهید امتحان کنید ، این عالی خواهد بود.,1,0,2,1
متاسفم که این را اشتباه فهمیدم.آیا می توانم از شما بخواهم که از لیست زیر احساساتی که دقیق تر احساس شما را انتخاب می کند ، انتخاب کنید؟,2,1,2,2
در حین مکالمه ، آیا شما معمولاً دیدگاه دیگران را در نظر می گیرید؟,1,0,0,0
این می تواند خشن باشد.فکر می کنید ممکن است با اتفاقی که افتاده است مرتبط باشد؟,2,1,2,2
متاسفم که چنین احساسی داری.آیا این ناشی از چیز خاصی بود؟,1,1,2,1
آیا احساس می کنید شخص دیگری مقصر غم و اندوه شما است؟,0,1,1,1
ممکن است بپرسم که آیا شما هر یک از این احساسات را نسبت به کسی احساس کرده اید یا ابراز کرده اید:,0,1,1,1
آیا این پروتکل چه احساسی را برای بهتر یا بدتر تغییر داده است؟,1,0,1,1
متاسفم که این برای شما اتفاق افتاد و آرزو می کنم کمک کنم.آیا می توانید لطفاً به من بگویید که آیا این رویداد اخیر بوده است یا دور؟,2,2,2,2
از پاسخ شما متشکرم ، من همیشه اینجا هستم که به شما درک و کمک کنم ، هرگز قضاوت نکنید.آیا این امکان وجود دارد که شما در تلاش باشید تا مسئولیت زندگی شخص دیگری را بر عهده بگیرید؟,2,2,2,2
از اینکه امروز با من به اشتراک گذاشتید متشکرمهر وقت می خواهید صحبت کنید به من برگردید.,1,1,2,1
متاسفم که شما الان این منفی را تجربه می کنید.اگر ممکن است بپرسم ، و لطفاً صادق باشید ، آیا می گویید که همیشه وقتی این موارد به شما ارائه می شود ، به دیدگاه دیگران توجه کرده اید؟,2,1,2,2
بعد از این پروتکل چه احساسی دارید؟,0,0,0,0
آیا احساس می کنید کسی است یا سعی در صدمه زدن به شما دارد؟,0,1,0,0
اگر از من سؤال نمی کنید ، می خواهم بدانم که آیا دیگران را به خاطر این احساسات منفی که تجربه می کنید سرزنش می کنید.,1,1,0,1
اشکالی ندارد ، متشکرم که به من اطلاع دادید.آیا احساس می کنید هیچ مسئولیتی در قبال این امر به اشتراک نمی گذارید ، و دیگران مقصر هستند که به شما آسیب می رسانند؟,2,1,2,2
خوب ، متشکرمآیا می توانید به من اطلاع دهید آیا این اتفاقی است که اخیراً اتفاق افتاده است یا چندی پیش بود؟,0,1,1,1
من برخی از پروتکل ها را که می توانید امتحان کنید ، پیشنهاداتی دارم.لطفا یکی را برای مشاهده اکنون انتخاب کنید:,1,0,1,1
"من قدردانی می کنم که این ممکن است جدید باشد اما سعی کنید اکنون این پروتکل را طی کنید.پس از اتمام ، دکمه ""ادامه"" را فشار دهید.",2,1,2,2
این اخیراً بود ، یا چندی پیش این اتفاق افتاد؟,0,0,1,0
پروتکل های دیگری نیز وجود دارد که می توانیم به جای آن امتحان کنیم.آیا شما در این مورد باز خواهید بود؟,1,0,0,0
آیا با عزیزان خود مشکلی را تجربه می کنید؟,0,0,1,0
آیا دوست دارید پروتکل دیگری را امتحان کنید و ببینید که آیا این باعث می شود احساس بهتری نیز داشته باشید؟,1,0,1,1
آیا دوست دارید به جای آن پروتکل دیگری را امتحان کنید؟,0,0,1,0
من می توانم ببینم که ممکن است احساس کنید {} ، آیا این دقیق است؟,0,0,1,0
آیا می توانم بپرسم آیا همیشه خود را به خاطر هر آنچه در زندگی شما اشتباه می کند سرزنش می کنید؟,2,1,1,1
لطفاً اکنون مدتی را طی کنید تا پروتکل را طی کنید.وقتی آماده هستید ، لطفاً برگردید تا بتوانیم ادامه دهیم.,1,2,2,2
آیا قادر به گوش دادن به دیدگاه های افراد دیگر هستید؟,0,0,0,0
آیا می گویید که در مکالمات قبلی شما همیشه به دیدگاه دیگران گوش داده اید و وقت خود را برای بررسی دقیق دیدگاه خود می گیرید؟,1,2,2,2
من می توانم با آن شناسایی کنم.حال ، آیا این احساسات نتیجه رویدادی است که اخیراً یا مدتها پیش اتفاق افتاده است؟,2,2,2,2
آیا در زندگی شما ، بین شما و یک یا چند نفر در زندگی شما ، جایی که کسی باید برنده شود ، مبارزه قدرتی وجود دارد؟,0,0,1,0
با عرض پوزش از شنیدن آن ، خوب برای عبور از آن.اگر می خواهید پروتکل دیگری را امتحان کنید تا ببینید آیا این مناسب شما مناسب است ، گزینه های دیگری برای شما وجود دارد.,2,2,2,2
تمرینات موجود در پروتکل 11 برای برخی می تواند دشوار باشد ، بنابراین من می خواهم بدانم که آیا آنها می توانند انتخاب مناسبی برای شما باشند.آیا تمرینات موجود در پروتکل 11 را انجام داده اید و آنها را دشوار یا آسیب زا می دانید؟,2,1,2,2
آیا همیشه خود را به خاطر هر مشکلی سرزنش می کنید؟,0,0,0,0
آیا این اتفاق اخیراً رخ داده است ، یا این چیزی است که مدتی در ذهن شما طعنه زده است؟,1,1,2,1
آیا کسی مقصر بیماری هایی است که شما احساس کرده اید؟,0,0,1,0
من می خواهم بدانم که آیا همیشه وقتی اتفاق بدی رخ می دهد احساس مسئولیت می کنید.,1,0,0,0
متاسفم که این را شنیدمآیا باید دیگری را امتحان کنیم؟,1,2,2,2
احساس احساسات قوی نسبت به دیگران کاملاً طبیعی است ، من اینجا نیستم که شما را در مورد آن قضاوت کنم.آیا احساسات زیر را نسبت به دیگران احساس کرده اید یا ابراز کرده اید:,2,2,2,2
بعد از انجام این پروتکل چه احساسی دارید؟امیدوارم کمک کرده باشد.,1,2,2,2
می بینم.بنابراین شما احساس می کنید {} ، آیا این درست است؟,0,0,1,0
آیا این کمک کرد تا احساس بهتری داشته باشید یا واقعاً؟,0,0,1,0
امروز از صبر شما متشکرمبه زودی میبینمت!,1,0,1,1
آیا پروتکل 6 را انجام دادید و آیا این باعث شده است که احساس بدتر کنید؟,0,0,1,0
این سخت استاین اخیر بود یا چندی پیش اتفاق افتاد؟در هر صورت احساسات شما کاملاً معتبر است.,2,2,2,2
آیا همیشه احساس می کنید که کسی تقصیر هستید ، حتی اگر شاید نباید؟,1,2,2,2
آیا احساس می کنید قربانی هستید؟,0,0,1,0
آیا فکر می کنید باید ناجی شخص دیگری باشید؟,0,0,1,0
ممنون که به من اطلاع دادیدآیا شما اعتقاد دارید که همه گزینه های خود را ، از جمله مواردی که ممکن است توسط افراد دیگر به شما پیشنهاد شده باشد ، کاوش کرده اید؟,2,1,2,2
با تمام صداقت ، آیا فکر می کنید همیشه در دسترس هستید تا گزینه های دیدگاه خود را در نظر بگیرید؟,1,1,2,1
آیا احساس می کنید کسی به کمک شما احتیاج دارد؟,0,0,1,0
آیا چیزی به ویژه وجود دارد که باعث می شود شما اینگونه احساس کنید؟,0,0,1,0
آیا این اتفاقی است که اخیراً اتفاق افتاده است یا مدت زمان بیشتری؟,0,1,0,0
بعضی اوقات می توانیم احساس حسادت ، حرص و آز ، حسادت ، نفرت یا سوء رفتار را بر دیگران منعکس کنیم و بی اعتمادی گذشته می تواند به افکار انتقام جویی منجر شود ، اما اطمینان حاصل شود که همه این احساسات کاملاً طبیعی هستند.آیا فکر می کنید ممکن است هر یک از این احساسات را احساس کنید:,2,2,2,2
خوب ، در اینجا پیشنهادات من است.شما می توانید هر پروتکل را که احساس می کنید در حال حاضر برای شما بهتر کار می کند انتخاب کنید.,1,0,0,0
آیا فکر می کنید باید ناجی شخص دیگری باشید؟,0,0,1,0
من می توانم برخی از پروتکل ها را که ممکن است کمک کند توصیه کنم.احساس راحتی کنید که از بین این پروتکل ها که ترجیح می دهید انتخاب کنید.,1,0,2,1
آیا کسی در اطراف شما یا در زندگی شما وجود دارد که می خواهید کنترل کنید؟,0,0,1,0
آیا فکر می کنید این وضعیت و افراد موجود در آن چیزی هستند که می خواهید بر آن تسلط داشته باشید؟,1,0,1,1
افراد دیگری که با آنها ارتباط برقرار کرده اید ممکن است چند پیشنهاد ارائه داده باشد.آیا هیچ یک از پیشنهادات دیگران در مورد وضعیت فعلی شما برای شما مفید بوده است؟,2,1,2,2
آیا به دلیل وقایع گذشته ، متوجه شدید که آیا احساسات غیرقابل تحمل وجود دارد که از تلاش برای پروتکل 6 (اگر این کار را انجام داده اید) وجود داشته است؟,1,2,2,2
متشکرم.آیا می گویید که در زندگی شخصی خود با او سخت روبرو هستید؟,1,1,2,1
آیا می توانید به من بگویید که آیا بعد از گرفتن این پروتکل احساس بهتری دارید یا بدتر می شوید؟,1,2,1,1
امیدوارم که از من س asking ال کنید ، اما آیا با یک زمان دشوار روبرو هستید؟,1,1,2,1
من می فهمم ، متشکرمآیا می گویید این رویداد اخیراً اتفاق افتاده است ، یا چیزی را از گذشته دورتر به یاد می آورید؟,2,1,2,2
از صداقت و تلاش امروز شما بسیار سپاسگزارم ، بسیار قدردانی شد.به زودی میبینمت!,2,2,2,2
من بسیار متاسفم که شما با احساسات دشوار سر و کار دارید.آیا شاید احساس می کنید که باید شخص دیگری را در زندگی خود نجات دهید؟,1,2,2,2
اوه ، این خوب نیستآیا چیزی وجود داشت که این احساس را ایجاد کند؟,2,1,2,2
با تشکر از شما برای به اشتراک گذاشتن احساسات خود با من ، می فهمم که اکنون برخورد با آنها دشوار است.به طوری که من می توانم به شما بهتر کمک کنم ، می توانید به من بگویید که آیا یک رویداد خاص باعث شده است که شما اینگونه احساس کنید؟,2,2,2,2
متشکرم.من می خواهم بدانم که آیا ممکن است به دلیل مشکلات دوستان یا خانواده ، لحظه ای به خصوص دشوار را پشت سر بگذارید.,1,2,2,2
ممنون بخاطر وقتی که گذاشتید.من مطمئن هستم که ما دوباره از مسیرها عبور خواهیم کرد!,1,0,1,1
آیا این احساس به دلیل یک واقعه اخیر یا دوردست بوجود آمده است؟,1,0,0,0
بعد از گرفتن پروتکل چه احساسی دارید؟,0,0,1,0
فکر می کنید این به شما کمک کرده است احساس بهتری داشته باشید یا احساس بدتر کنید؟,0,0,1,0
لطفا به من اطلاع دهید که کدام یک را دوست دارید تلاش کنید.,0,0,1,0
فکر می کنید عبور از پروتکل دیگر می تواند کمک کند؟,1,0,1,1
آیا دلیل این احساس چیزی است که در روزهای جوانی شما اتفاق افتاده است یا اخیراً؟,2,1,1,1
آیا احساس نیاز به کنترل دیگران دارید؟,0,0,0,0
آیا می توانم یک پروتکل درمانی را برای تقویت احساسات مثبت شما توصیه کنم؟,1,2,1,1
بعدا میبینمت!,0,0,0,0
حالا شما این پروتکل را امتحان کرده اید و به پایان رسیده اید ، آیا از وضعیت خود احساس بهتری دارید یا بدتر؟,1,0,1,1
از شنیدن این حرف بسیار متاسفمآیا شما قصد تلاش برای پروتکل دیگر را دارید؟,1,2,2,2
آیا با عزیزان خود مشکلی را تجربه می کنید؟,0,0,1,0
آیا اخیراً با دوستان یا عزیزان مشکل شخصی داشته اید ، شاید در حال سقوط باشد ، یا مشکلات خانوادگی داشته اید؟,1,1,2,1
از اعتماد شما متشکرم ، لطفا به من کمک کنید تا بهتر درک کنم.آیا می گویید که در مکالمات قبلی ، همیشه مایل به گوش دادن به نظرات و نظرات افراد دیگر بوده اید؟,1,2,2,2
آیا خود را قربانی اقدامات شخص دیگری می دانید؟,0,0,1,0
متاسفم که کمکی نکرده است.آیا باید دیگری را امتحان کنیم؟,0,1,2,1
وقتی به وضعیت خود نگاه می کنید ، آیا همیشه خود را مقصر می دانید و خود را به خاطر آنچه اتفاق می افتد متهم می کنید؟,1,0,0,0
متأسفم ، گاهی اوقات سخت است که بدانید کسی در پشت صفحه کلید احساس می کند.در عوض ، آیا شما از انتخاب احساسی از این لیست که برای وضعیت فعلی شما مناسب تر است ، فکر می کنید؟,2,1,2,2
"با تشکر از انتخاب شما!اگر می توانید اکنون این پروتکل را طی کنید ، از آن قدردانی می کنم.پس از اتمام کار ، می توانید برگردید و دکمه ""ادامه"" را فشار دهید.",1,2,2,2
من می خواهم بپرسم که شما در مورد پروتکل چه احساسی دارید و آیا این به شما کمک کرده است.آیا احساس بهتری دارید ، یا در واقع باعث شده است که احساس بدتر کنید؟,2,1,2,2
من واقعاً از زمانی که شما گرفته اید و تمام آنچه را که با من به اشتراک گذاشته اید قدردانی می کنم.امیدوارم به زودی دوباره در تماس باشم.,2,2,2,2
آیا مسئولیت نتیجه سرنوشت شخص دیگری را بر عهده دارید؟,1,2,1,1
خیلی ممنون که در این جلسه با من وقت گذاشتید.من واقعاً مشتاقانه منتظر دیدن شما به زودی هستم.,1,2,2,2
وقتی چیزی پیش می رود ، آیا همیشه به خودتان سرزنش می کنید؟,0,0,1,0
اوه ، بد منپس چگونه می گویید امروز احساس می کنید؟,1,0,1,1
آیا این اتفاق توسط یک واقعه اخیر یا دوردست ایجاد شده است؟,0,0,1,0
آیا این اتفاق اخیراً رخ داده است یا در گذشته چیزی است؟,0,0,0,0
آیا فکر می کنید احساس شما سرچشمه می گیرد زیرا دیگران را مقصر می دانید که احساس منفی می کنید؟,1,0,1,1
آیا ممکن است این باشد که شما سعی می کنید شخص دیگری را در اینجا نجات دهید؟,1,0,1,1
و آیا این رویداد یا وقایع ، دور یا اخیر بود؟,0,0,0,0
آیا کسی را به خاطر احساسات فعلی خود مقصر می دانید؟,0,0,1,0
من می فهمم ، از اینکه به اشتراک گذاشتید متشکرم.آیا می گویید که این یک رویداد اخیر یا دور بود ، تا بتوانم تصویر بهتری بگیرم؟,2,2,2,2
امروز از مشارکت شما سپاسگزارم.من در آینده مشتاقانه منتظر تعامل های مثمر ثمر با شما هستم.,1,1,2,1
با تشکر از شما برای امتحان کردن پروتکل.اگر به این فکر می کنید که قبل از گرفتن آن چه احساسی دارید و اکنون چه احساسی دارید ، می گویید احساس بهتری دارید یا بدتر؟,2,1,2,2
من واقعاً دوست دارم وقت خود را برای تشکر از شما برای اینکه چنین شرکت کننده ای شگفت انگیز هستم تشکر کنم.این دوست داشتنی خواهد بود که به زودی دوباره شما را ببینیم.,1,2,2,2
شاید لازم باشد که به وضعیت شما عمیق تر نگاه کنیم.اگر دوست دارید می توانیم از طریق پروتکل دیگری کار کنیم.,2,1,2,2
"لطفا این پروتکل را امتحان کنید.وقتی تمام شد ، ""ادامه"" را فشار دهید.",0,0,1,0
از آنچه به من گفتید ، به نظر می رسد که احساس می کنید {} ، آیا این درست است؟,1,0,1,1
آیا می توانم بپرسم آیا شما احساس می کنید دیدگاه دیگران را در نظر بگیرید؟,2,1,1,1
متشکرم ، من می فهمماگر ممکن است این را بپرسم ، آیا احساس می کنید که همه در حال حاضر شما را به دست می آورند؟,2,1,2,2
در اینجا افکار من آورده شده است که کدام پروتکل ها برای شما مناسب تر هستند.دوست دارید کدام یک از موارد زیر را کشف کنید؟,1,2,2,2
من می خواهم صمیمانه از شما برای شرکت در این مورد تشکر کنم.امیدوارم به زودی ببینمت!,1,2,2,2
آیا در حال حاضر اوقات سختی را تجربه می کنید ، آیا با دوستان یا عزیزان کنار گذاشته اید؟,1,0,1,1
آیا اخیراً سعی کرده اید در مورد این رویداد فکر کنید اما آن را خیلی دردناک دیدید؟,0,0,1,0
من قصد دارم لیستی از احساسات را به شما ارائه دهم.من دوست دارم که آنها را در نظر بگیرید و سپس به من بگویید که آیا شما به شدت احساس کرده اید یا به طور خاص هیچ یک از آنها را نسبت به کسی بیان کرده اید:,1,2,2,2
اول از همه ، بگذارید به شما بگویم که من کاملاً می فهمم که از کجا می آیید و داشتن این احساسات چگونه است.من تعجب می کنم ، در قلب قلب شما ، فکر می کنید منطقی یا سالم است که همیشه دیگران را در اولویت قرار دهید؟,2,2,2,2
من می خواهم بدانم که آیا در حال حاضر اتفاق می افتد که احساس بزرگتر از حد معمول کند.آیا شما در حال عبور از یک وصله خشن یا یک بحران شخصی هستید؟اگر چنین است ، می توانید به من بگویید.,2,1,2,2
بابت آن تشکر می کنم؛من فکر می کنم که پروتکل 11 می تواند به شما در مقابله با این رویداد کمک کند ، اما برخی از افراد گزارش داده اند که این پروتکل می تواند بسیار شدید باشد.آیا قبلاً پروتکل 11 را امتحان کرده اید ، و اگر چنین بود احساسات دشوار یا آسیب زا را برانگیخت؟,2,2,2,2
لطفا به من بگویید ، آیا همیشه وقتی همه چیز اشتباه می شود ، خود را مقصر می دانید؟,1,0,1,1
اگر ممکن است بپرسم ، آیا خود را به عنوان نوع شخصی که همیشه می خواهد مسئول باشد ، می دانید؟,2,0,1,1
آیا اخیراً هیچ یک از این احساسات یا احساسات شدید را نسبت به هر کسی تجربه کرده اید:,0,0,1,0
متاسفم که این را شنیدماگر دوست دارید دیگری را امتحان کنید ، پروتکل های دیگری نیز وجود دارد که می توانیم امتحان کنیم؟,1,2,2,2
آیا این رویدادی بود که باعث غم و اندوه شما یک رویداد اخیر یا اتفاقی که چندی پیش افتاد؟,1,1,2,1
فکر می کنید شخص دیگری ممکن است از کمک شما بهره مند شود؟,1,0,0,0
متاسفم که از شنیدن این احساس احساس می کنم.آیا دوست دارید پروتکل دیگری را امتحان کنید؟,1,2,2,2
خوب ، این منطقی است ، متشکرم که به من گفتید.آیا این رویداد چیزی است که چندی پیش اتفاق افتاده است یا اخیراً؟,2,1,2,2
آیا شما اعتقاد دارید شخصی وجود دارد که سزاوار نجات توسط شما باشد؟,0,1,0,0
آیا احساس می کنید کاری وجود دارد که می توانید انجام دهید که شخص دیگری را بهتر کند؟,1,0,0,0
آیا به منظور حل یا کاهش مشکلات خود در مورد دیدگاه های دیگران که ممکن است در مکالمات قبلی به شما ارائه شده باشد ، فکر کرده اید؟,1,0,2,1
تعدادی پروتکل وجود دارد که می توانیم امتحان کنیم.دوست دارید کدام یک از موارد زیر را کشف کنید؟,1,2,2,2
آیا می توانم بپرسم آیا همیشه اعتقاد دارید که دلیل اصلی مشکلات خود هستید؟,2,0,1,1
آیا احساس می کنید در زندگی روزمره خود با افراد نزدیک به شما مشکل دارید؟,0,0,1,0
خیلی ممنون که به من اطلاع دادید.آیا می گویید که این یک رویداد (یا وقایع) اخیر یا دور بود که باعث این احساسات شد؟,2,1,2,2
من میفهمم.آیا می توانید زمان این رویداد را به من بگویید تا بتوانم بیشتر بفهمم چه چیزی شما را مضطرب می کند ، آیا اخیر بود یا دور؟,1,2,2,2
من می فهمم که می تواند دشوار باشد.آیا می توانم بپرسم که آیا شما پروتکل 11 را امتحان کرده اید تا احساساتی را که احساس می کنید بهتر درک کنید ، اما رسیدن به آن خیلی دردناک بود؟,2,2,2,2
آیا احساس می کنید هیچ مسئولیتی در قبال این امر به اشتراک نمی گذارید ، و دیگران مقصر هستند که به شما آسیب می رسانند؟,0,1,1,1
آیا خود را قربانی می بینید ، یا شخص دیگری را به خاطر احساسات خود سرزنش می کنید؟,0,0,1,0
من می خواهم کمی در مورد چگونگی مشاهده نقش خود در حلقه اجتماعی خود بدانم.آیا می توانم بپرسم آیا شما اعتقاد دارید که این مسئولیت خود شماست که شخص دیگری را از مشکلات آنها نجات دهید؟,2,1,2,2
آیا پروتکل اثرات مثبت یا منفی داشت؟,1,0,0,0
آیا در مورد موقعیت های کم و بیش اخیر فکر می کنید ، آیا تا به حال خود را در طول مکالمه در کفش شخص دیگری قرار داده اید؟,1,0,2,1
آیا می گویید شخص دیگری باعث ایجاد احساسات منفی شما می شود؟,1,1,2,1
من می فهمم ، و از شنیدن این موضوع متاسفم.آیا می توانم بپرسم که آیا این احساس می کند که اخیراً اتفاق افتاده است یا اینکه در گذشته خاطره ای از چیزی دورتر است؟,1,2,2,2
بیایید به زودی دوباره صحبت کنیم.,0,0,0,0
خیلی ممنون خیلیامیدوارم به زودی ببینمت.,0,1,1,1
آیا وقتی همه چیز به برنامه ریزی نمی رود ، همیشه خود را سرزنش و متهم می کنید؟,0,0,0,0
من می فهمم که شما در حال حاضر بهترین احساس را ندارید.آیا فکر می کنید روشی که احساس می کنید هر حادثه خاصی در ارتباط است؟,2,2,2,2
متاسفم که شما عصبانی هستید ، و من نمی دانم که آیا این ممکن است نشانه چیز بزرگتر باشد.آیا اخیراً مشکلات عمده دیگری در زندگی شما رخ داده است؟,1,2,2,2
من می خواهم بدانم که آیا شما توسط دیگران در اطراف خود احساس درک کرده اید یا مخالف هستید.این برای من مهم است که بتوانم به شما کمک کنم.آیا فکر می کنید دیگران در اطراف شما شما را درک می کنند یا آنها واقعاً بخشی از مشکل هستند؟,2,2,2,2
آیا پروتکل به شما کمک کرده است تا احساس بهتری داشته باشید یا احساس بدتری دارید؟,1,0,1,1
من می فهمم که شما امروز احساس خوبی ندارید و دوست دارم بیشتر آنچه را که شما را آزار می دهد تحقیق کنید.آیا این احساس را دارید زیرا سعی می کنید به کسی که از آن مراقبت می کنید کمک کنید؟,2,2,2,2
باشه ، از این بابت متشکرمآیا اخیراً پروتکل 11 را امتحان کرده اید ، و آیا باعث شده احساسات سخت از بین بروند؟,1,1,2,1
الان شما چه احساسی دارید؟,1,0,0,0
